"Lon","Lat","NAMES","DATE","TYPE"
-123.1317,41.3657,"July 2000",2000-07-20 06:00:00,"Class_A"
-122.5833,38.25583,"1991",1991-01-01 06:00:00,"Class_A"
-120.8908,39.21278,"June 1978",1978-06-01 07:00:00,"Class_A"
-119.2569,37.91111,"August 1998",1998-08-01 06:00:00,"Class_A"
-116.8625,33.2675,"July 1993",1993-07-04 06:00:00,"Class_A"
-122.2703,41.21361,"June 2001",2001-06-15 06:00:00,"Class_A"
-120.2653,39.3225,"1956",1956-10-01 07:00:00,"Class_A"
-121.6156,40.92911,"1994",1994-09-15 06:00:00,"Class_A"
-120.0133,38.85556,"July 2003",2003-07-20 06:00:00,"Class_A"
-119.9833,38.93333,"January 1983",1983-01-01 06:00:00,"Class_A"
-123.8692,40.26639,"August 1963",1963-08-01 07:00:00,"Class_A"
-123.8692,40.26639,"July 1965",1965-07-01 07:00:00,"Class_A"
-121.495,36.2485,"April 93/95",1993-04-01 05:00:00,"Class_A"
-122.3775,40.8875,"August 1977",1977-08-01 07:00:00,"Class_A"
-122.1781,39.92778,"October 72-73",1973-10-15 07:00:00,"Class_A"
-121.0161,39.26361,"January 2004",2004-01-04 06:00:00,"Class_A"
-123.4817,39.68833,"September 1974",1974-09-01 07:00:00,"Class_A"
-123.7675,39.22361,"August 1966",1966-09-01 07:00:00,"Class_A"
-118.972,37.5703,"September 1972",1972-09-15 07:00:00,"Class_A"
-120.5836,38.72139,"2003",2003-09-01 06:00:00,"Class_A"
-121.58,39.205,"July 1965",1965-07-01 07:00:00,"Class_A"
-124,40.465,"July 1992",1992-07-12 06:00:00,"Class_A"
-119.2119,37.23389,"October 2001",2001-10-25 06:00:00,"Class_A"
-118.7402,36.0438,"May 2000",2000-05-01 06:00:00,"Class_A"
-120.3275,39.31917,"August 2004",2004-08-16 06:00:00,"Class_A"
-120.2434,38.0312,"December 2003",2003-12-24 06:00:00,"Class_A"
-121.7,37,"1998-2004",2004-10-01 06:00:00,"Class_A"
-122.1667,40.75,"1970  1990",1997-07-15 06:00:00,"Class_A"
-123.55,40.85,"October 1988",1988-10-15 07:00:00,"Class_A"
-120.6033,38.90333,"2004",2004-11-01 06:00:00,"Class_A"
-120.201,36.7818,"June 1991",1991-06-28 06:00:00,"Class_A"
-122.278,40.7974,"2001",2001-03-15 06:00:00,"Class_A"
-121.2919,35.5565,"April 1974",1974-04-15 07:00:00,"Class_A"
-121.7146,36.3779,"June 1986",1986-06-15 06:00:00,"Class_A"
-123.35,41.75,"March 1967",1967-03-10 06:00:00,"Class_A"
-119.5483,38.3068,"August 2005",2005-08-21 06:00:00,"Class_A"
-121.0517,39.25396,"September 1987",1987-09-15 06:00:00,"Class_A"
-123.85,41.65,"January 1979",1979-10-25 07:00:00,"Class_A"
-123.2718,40.7485,"September 2003",2003-09-15 06:00:00,"Class_A"
-123.35,41.75,"December 1993",1993-12-15 06:00:00,"Class_A"
-121.4871,37.39555,"1870",1869-11-10 06:03:58,"Class_A"
-120.3784,39.50435,"September 1993",1993-09-05 06:00:00,"Class_A"
-122.8055,40.6789,"August 1982",1982-08-09 06:00:00,"Class_A"
-120.2201,38.86165,"August 2005",2005-08-20 06:00:00,"Class_A"
-118.9166,37.58325,"June 2006",2006-06-17 06:00:00,"Class_A"
-124.0687,41.21385,"October 2006",2006-10-21 06:00:00,"Class_A"
-122.6667,40.7333,"June 1991",2007-04-18 06:00:00,"Class_A"
-121.7138,38.4906,"October 1980",1980-10-11 07:00:00,"Class_A"
-123.1668,41.8333,"August 2005",2007-09-11 06:00:00,"Class_A"
-118.4333,34.6167,"May 1980",2007-10-10 06:00:00,"Class_A"
-123.056,41.28996,"August 1998",1998-08-03 06:00:00,"Class_A"
-123.2393,39.83929,"December 2007",2007-12-15 06:00:00,"Class_A"
-119,37.9333,"May 1991",2008-07-09 06:00:00,"Class_A"
-123.3899,39.51489,"July 2008",2008-07-08 06:00:00,"Class_A"
-119.7853,38.33115,"August 1993",1993-08-13 06:00:00,"Class_A"
-119.2916,34.625,"August 1964",2008-09-14 06:00:00,"Class_A"
-116.5333,33.95002,"May 1979",2008-12-01 06:00:00,"Class_A"
-118.375,36.70835,"August 2007",2008-10-27 07:00:00,"Class_A"
-121.07,37.475,"August 1962",1962-08-14 07:00:00,"Class_A"
-123.0585,38.83996,"September 2007",2007-09-08 06:00:00,"Class_A"
-118.125,36.79165,"December 1975-76",2009-01-12 06:00:00,"Class_A"
-119.9254,34.73389,"April 1982",1982-04-15 05:00:00,"Class_A"
-123.1749,41.98645,"June 2009",2009-06-03 06:00:00,"Class_A"
-120.2083,38.79998,"July 2009",2009-07-15 06:00:00,"Class_A"
-121.18,39.705,"September 1993",1993-09-30 07:00:00,"Class_A"
-118.5834,34.76666,"1993",2010-01-22 06:00:00,"Class_A"
-123.4498,41.65925,"April 2010",2010-04-22 06:00:00,"Class_A"
-121,38.25,"October 2010",2010-10-25 06:00:00,"Class_A"
-114.4419,50.4023,"November 1995",1995-11-18 06:00:00,"Class_A"
-114.2347,50.0865,"November 2003",2003-11-15 06:00:00,"Class_A"
-114.3957,55.26332,"February 1976",1976-02-12 06:00:00,"Class_A"
-114.1397,53.62819,"April 2005",2005-04-15 06:00:00,"Class_A"
-115.8742,52.51666,"June 1998",1998-06-30 06:00:00,"Class_A"
-117.1638,56.12543,"September 1975",2008-01-23 06:00:00,"Class_A"
-113.0987,53.92005,"June 1997",1997-06-05 06:00:00,"Class_A"
-116.0426,50.84333,"March 2001",2001-03-30 05:00:00,"Class_A"
-121.3177,49.3402,"September 1999",1999-09-14 06:00:00,"Class_A"
-119.665,53.08,"August 2002",2002-08-17 06:00:00,"Class_A"
-121.3324,56.3321,"October 1965",1965-10-20 07:00:00,"Class_A"
-122.1751,50.80041,"December 2002",2002-12-20 06:00:00,"Class_A"
-123.12,59.61,"April 1987",1987-04-13 06:00:00,"Class_A"
-123.2054,49.94374,"February 2005",2005-02-15 06:00:00,"Class_A"
-123.94,49.54,"March 2005",2005-03-08 06:00:00,"Class_A"
-123.8562,49.51069,"June 2005",2005-06-17 06:00:00,"Class_A"
-120.4736,53.59444,"August 2005",2005-08-14 06:00:00,"Class_A"
-122.0064,54.23708,"September 1977",1977-09-30 07:00:00,"Class_A"
-121.3976,49.62125,"June 2005",2005-09-10 06:00:00,"Class_A"
-119.8664,49.09555,"January 2006",2006-01-02 06:00:00,"Class_A"
-122.1171,49.4068,"1984/85",1985-07-31 06:00:00,"Class_A"
-121.525,49.175,"March 1934",1934-03-04 06:00:00,"Class_A"
-121.94,49.24,"April 1934",2006-03-02 06:00:00,"Class_A"
-121.475,49.125,"July 1934",1934-07-29 07:00:00,"Class_A"
-117.8504,49.28569,"December 1980",1980-12-23 06:00:00,"Class_A"
-118.398,51.05747,"July 1985",1985-07-15 06:00:00,"Class_A"
-124.2872,48.83319,"June 2006",2006-06-20 06:00:00,"Class_A"
-123.6171,48.56704,"November 2006-2007",2006-11-15 06:00:00,"Class_A"
-125.3675,49.26528,"March 2007",2007-03-30 06:00:00,"Class_A"
-122.6089,49.0922,"87 or 88",1988-05-15 06:00:00,"Class_A"
-119.8076,49.73385,"July 1974",1974-07-15 07:00:00,"Class_A"
-115.5743,50.29765,"September 2007",2007-09-25 06:00:00,"Class_A"
-123.3647,48.35765,"May 1974",2008-10-02 06:00:00,"Class_A"
-118.188,50.58304,"August 1978",1978-08-15 07:00:00,"Class_A"
-127.735,50.8604,"October 1992",1992-10-15 07:00:00,"Class_A"
